game_date,home_team,away_team,period,clock,game_seconds,time_btw_events,home_team_skaters,away_team_skaters,home_team_goals,away_team_goals,team,player,event,x_coordinate,y_coordinate,detail_1,detail_2,detail_3,detail_4,player_2,x_coordinate_2,y_coordinate_2,shot_from_pass,pass_to_shot
2021-01-23,Minnesota Whitecaps,Boston Pride,1,09:37:00,623,NA,4,5,0,0,Boston Pride,Taylor Turnquist,Play,133,56,Direct,NA,NA,NA,Lauren Kelly,149,13,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,09:35:00,625,2,4,5,0,0,Boston Pride,Lauren Kelly,Shot,150,15,Snapshot,On Net,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,08:19:00,701,NA,4,5,0,0,Minnesota Whitecaps,Stephanie Anderson,Play,161,80,Direct,NA,NA,NA,Sydney Baldwin,157,29,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,08:18:00,702,1,4,5,0,0,Minnesota Whitecaps,Sydney Baldwin,Shot,169,27,Snapshot,Blocked,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,06:02:00,838,NA,5,5,0,1,Boston Pride,Tereza Vanisova,Play,162,23,Direct,NA,NA,NA,Mallory Souliotis,145,44,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,06:02:00,838,0,5,5,0,1,Boston Pride,Mallory Souliotis,Shot,145,44,Fan,Missed,TRUE,TRUE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,05:57:00,843,NA,5,5,0,1,Boston Pride,Kaleigh Fratkin,Play,135,74,Indirect,NA,NA,NA,Samantha Davis,174,73,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,05:54:00,846,3,5,5,0,1,Boston Pride,Samantha Davis,Shot,164,44,Fan,Missed,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,04:38:00,922,NA,5,5,1,1,Boston Pride,Meaghan Rickard,Play,137,20,Direct,NA,NA,NA,Meghara McManus,146,29,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,04:36:00,924,2,5,5,1,1,Boston Pride,Meghara McManus,Shot,159,41,Snapshot,Blocked,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,03:59:00,961,NA,4,5,1,1,Boston Pride,McKenna Brand,Play,134,30,Direct,NA,NA,NA,Taylor Turnquist,138,79,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,03:58:00,962,1,4,5,1,1,Boston Pride,Taylor Turnquist,Shot,155,79,Snapshot,Missed,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,03:49:00,971,NA,4,5,1,1,Boston Pride,Taylor Turnquist,Play,159,69,Direct,NA,NA,NA,McKenna Brand,138,47,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,03:47:00,973,2,4,5,1,1,Boston Pride,McKenna Brand,Shot,147,45,Wristshot,On Net,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,02:48:00,1032,NA,4,5,1,1,Boston Pride,Samantha Davis,Play,161,75,Direct,NA,NA,NA,Kaleigh Fratkin,129,38,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,1,02:46:00,1034,2,4,5,1,1,Boston Pride,Kaleigh Fratkin,Shot,136,31,Slapshot,Blocked,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,19:57:00,1203,NA,5,5,1,1,Boston Pride,Kaleigh Fratkin,Play,103,71,Direct,NA,NA,NA,McKenna Brand,119,70,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,19:55:00,1205,2,5,5,1,1,Boston Pride,McKenna Brand,Shot,163,65,Wristshot,Blocked,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,19:42:00,1218,NA,5,5,1,1,Minnesota Whitecaps,Meghan Lorence,Play,191,19,Direct,NA,NA,NA,Haley Mack,173,16,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,19:42:00,1218,0,5,5,1,1,Minnesota Whitecaps,Haley Mack,Shot,173,16,Snapshot,On Net,TRUE,TRUE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,18:43:00,1277,NA,5,5,1,1,Minnesota Whitecaps,Haylea Schmid,Play,118,79,Direct,NA,NA,NA,Allie Thunstrom,129,64,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,18:41:00,1279,2,5,5,1,1,Minnesota Whitecaps,Allie Thunstrom,Shot,170,60,Wristshot,Missed,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,18:19:00,1301,NA,5,5,1,1,Minnesota Whitecaps,Jonna Curtis,Play,151,13,Direct,NA,NA,NA,Haylea Schmid,150,36,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,18:18:00,1302,1,5,5,1,1,Minnesota Whitecaps,Haylea Schmid,Shot,155,39,Wristshot,Blocked,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,18:13:00,1307,NA,5,5,1,1,Boston Pride,Samantha Davis,Play,61,78,Direct,NA,NA,NA,Mary Parker,101,13,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,18:09:00,1311,4,5,5,1,1,Boston Pride,Mary Parker,Shot,170,11,Wristshot,On Net,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,17:59:00,1321,NA,5,5,1,1,Minnesota Whitecaps,Audra Richards,Play,56,69,Direct,NA,NA,NA,Jonna Curtis,86,76,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,17:54:00,1326,5,5,5,1,1,Minnesota Whitecaps,Jonna Curtis,Shot,164,68,Snapshot,Blocked,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,17:24:00,1356,NA,5,5,1,1,Boston Pride,Jenna Rheault,Play,132,61,Direct,NA,NA,NA,Meghara McManus,140,79,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,17:23:00,1357,1,5,5,1,1,Boston Pride,Meghara McManus,Shot,156,71,Wristshot,On Net,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,16:37:00,1403,NA,5,5,1,1,Boston Pride,Meaghan Rickard,Play,191,27,Direct,NA,NA,NA,Mallory Souliotis,146,29,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,16:36:00,1404,1,5,5,1,1,Boston Pride,Mallory Souliotis,Shot,146,29,Slapshot,Blocked,TRUE,TRUE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,15:57:00,1443,NA,5,5,1,1,Minnesota Whitecaps,Chelsey Brodt-Rosenthal,Play,169,61,Direct,NA,NA,NA,Meghan Lorence,176,46,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,15:56:00,1444,1,5,5,1,1,Minnesota Whitecaps,Meghan Lorence,Shot,176,46,Deflection,On Net,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,15:48:00,1452,NA,5,5,1,1,Minnesota Whitecaps,Stephanie Anderson,Play,198,54,Direct,NA,NA,NA,Emma Stauber,163,43,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,15:48:00,1452,0,5,5,1,1,Minnesota Whitecaps,Emma Stauber,Shot,163,43,Wristshot,Blocked,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,15:22:00,1478,NA,4,5,1,1,Boston Pride,Kaleigh Fratkin,Play,135,76,Direct,NA,NA,NA,Mallory Souliotis,135,22,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,15:21:00,1479,1,4,5,1,1,Boston Pride,Mallory Souliotis,Shot,139,26,Wristshot,Missed,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,15:05:00,1495,NA,4,5,1,1,Boston Pride,Kaleigh Fratkin,Play,47,39,Direct,NA,NA,NA,Mallory Souliotis,86,74,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,15:01:00,1499,4,4,5,1,1,Boston Pride,Mallory Souliotis,Shot,161,74,Wristshot,Blocked,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,14:21:00,1539,NA,4,5,1,1,Boston Pride,McKenna Brand,Play,188,71,Direct,NA,NA,NA,Kaleigh Fratkin,130,76,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,14:20:00,1540,1,4,5,1,1,Boston Pride,Kaleigh Fratkin,Shot,129,69,Slapshot,Blocked,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,14:10:00,1550,NA,4,5,1,1,Boston Pride,Christina Putigna,Play,152,57,Direct,NA,NA,NA,McKenna Brand,180,62,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,14:09:00,1551,1,4,5,1,1,Boston Pride,McKenna Brand,Shot,180,62,Wristshot,On Net,FALSE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,14:03:00,1557,NA,4,5,1,1,Boston Pride,McKenna Brand,Play,193,63,Direct,NA,NA,NA,Christina Putigna,167,74,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,14:00:00,1560,3,4,5,1,1,Boston Pride,Christina Putigna,Shot,157,48,Wristshot,On Net,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,13:48:00,1572,NA,4,5,1,1,Boston Pride,Christina Putigna,Play,167,56,Direct,NA,NA,NA,Jillian Dempsey,183,60,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,13:48:00,1572,0,4,5,1,1,Boston Pride,Jillian Dempsey,Shot,183,60,Snapshot,On Net,FALSE,TRUE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,12:36:00,1644,NA,5,5,1,1,Minnesota Whitecaps,Nina Rodgers,Play,106,80,Direct,NA,NA,NA,Haylea Schmid,108,48,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,12:34:00,1646,2,5,5,1,1,Minnesota Whitecaps,Haylea Schmid,Shot,139,55,Wristshot,On Net,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,12:14:00,1666,NA,5,5,1,1,Boston Pride,Lexie Laing,Play,173,2,Direct,NA,NA,NA,Paige Capistran,129,10,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,12:13:00,1667,1,5,5,1,1,Boston Pride,Paige Capistran,Shot,128,21,Wristshot,Missed,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,11:54:00,1686,NA,5,5,1,1,Boston Pride,Mary Parker,Play,157,82,Direct,NA,NA,NA,Jenna Rheault,131,79,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,11:53:00,1687,1,5,5,1,1,Boston Pride,Jenna Rheault,Shot,130,67,Slapshot,Blocked,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,10:04:00,1796,NA,5,5,1,1,Minnesota Whitecaps,Stephanie Anderson,Play,95,27,Direct,NA,NA,NA,Meghan Lorence,122,74,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,10:02:00,1798,2,5,5,1,1,Minnesota Whitecaps,Meghan Lorence,Shot,154,70,Wristshot,Blocked,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,09:38:00,1822,NA,5,5,1,1,Minnesota Whitecaps,Meghan Lorence,Play,150,64,Direct,NA,NA,NA,Haley Mack,160,79,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,09:37:00,1823,1,5,5,1,1,Minnesota Whitecaps,Haley Mack,Shot,167,61,Wristshot,Missed,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,09:15:00,1845,NA,5,5,1,1,Minnesota Whitecaps,Nina Rodgers,Play,35,6,Indirect,NA,NA,NA,Allie Thunstrom,88,80,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,09:10:00,1850,5,5,5,1,1,Minnesota Whitecaps,Allie Thunstrom,Shot,172,70,Snapshot,Blocked,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,08:52:00,1868,NA,5,5,1,1,Minnesota Whitecaps,Haylea Schmid,Play,159,2,Indirect,NA,NA,NA,Nina Rodgers,176,3,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,08:48:00,1872,4,5,5,1,1,Minnesota Whitecaps,Nina Rodgers,Shot,160,27,Wristshot,On Net,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,08:05:00,1915,NA,5,5,1,1,Minnesota Whitecaps,Nina Rodgers,Play,158,47,Direct,NA,NA,NA,Audra Richards,182,42,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,08:04:00,1916,1,5,5,1,1,Minnesota Whitecaps,Audra Richards,Shot,184,46,Wristshot,On Net,FALSE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,07:51:00,1929,NA,5,5,2,1,Boston Pride,Paige Capistran,Play,145,1,Direct,NA,NA,NA,Samantha Davis,182,26,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,07:50:00,1930,1,5,5,2,1,Boston Pride,Samantha Davis,Shot,182,26,Deflection,On Net,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,07:02:00,1978,NA,5,5,2,1,Minnesota Whitecaps,Sydney Baldwin,Play,119,40,Direct,NA,NA,NA,Meghan Lorence,125,68,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,06:58:00,1982,4,5,5,2,1,Minnesota Whitecaps,Meghan Lorence,Shot,164,59,Snapshot,Blocked,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,06:28:00,2012,NA,5,5,2,1,Minnesota Whitecaps,Meghan Lorence,Play,173,80,Direct,NA,NA,NA,Sydney Baldwin,189,75,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,06:25:00,2015,3,5,5,2,1,Minnesota Whitecaps,Sydney Baldwin,Shot,159,53,Snapshot,On Net,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,05:13:00,2087,NA,5,5,2,1,Boston Pride,Samantha Davis,Play,136,6,Indirect,NA,NA,NA,Taylor Wenczkowski,161,14,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,05:10:00,2090,3,5,5,2,1,Boston Pride,Taylor Wenczkowski,Shot,182,17,Wristshot,On Net,FALSE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,04:41:00,2119,NA,5,5,2,1,Boston Pride,Samantha Davis,Play,170,1,Direct,NA,NA,NA,Lauren Kelly,127,6,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,04:40:00,2120,1,5,5,2,1,Boston Pride,Lauren Kelly,Shot,128,25,Slapshot,Missed,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,03:18:00,2202,NA,4,5,2,1,Minnesota Whitecaps,Meghan Lorence,Play,164,16,Direct,NA,NA,NA,Stephanie Anderson,171,51,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,03:17:00,2203,1,4,5,2,1,Minnesota Whitecaps,Stephanie Anderson,Shot,171,51,Snapshot,On Net,FALSE,TRUE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,03:13:00,2207,NA,4,5,2,1,Boston Pride,McKenna Brand,Play,46,80,Indirect,NA,NA,NA,Jillian Dempsey,114,67,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,03:09:00,2211,4,4,5,2,1,Boston Pride,Jillian Dempsey,Shot,165,60,Wristshot,On Net,FALSE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,00:40:00,2360,NA,5,4,2,1,Minnesota Whitecaps,Meghan Lorence,Play,165,73,Direct,NA,NA,NA,Nina Rodgers,168,12,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,00:39:00,2361,1,5,4,2,1,Minnesota Whitecaps,Nina Rodgers,Shot,168,12,Fan,Missed,FALSE,TRUE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,00:34:00,2366,NA,5,4,2,1,Minnesota Whitecaps,Haley Mack,Play,197,29,Direct,NA,NA,NA,Meghan Lorence,168,53,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,2,00:33:00,2367,1,5,4,2,1,Minnesota Whitecaps,Meghan Lorence,Shot,168,53,Snapshot,On Net,FALSE,TRUE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,19:16:00,2444,NA,5,4,2,1,Minnesota Whitecaps,Meghan Lorence,Play,164,81,Direct,NA,NA,NA,Sydney Baldwin,125,49,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,19:14:00,2446,2,5,4,2,1,Minnesota Whitecaps,Sydney Baldwin,Shot,128,35,Wristshot,Blocked,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,19:02:00,2458,NA,5,5,2,1,Minnesota Whitecaps,Sydney Baldwin,Play,33,58,Direct,NA,NA,NA,Jonna Curtis,113,81,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,18:58:00,2462,4,5,5,2,1,Minnesota Whitecaps,Jonna Curtis,Shot,161,65,Wristshot,Blocked,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,17:46:00,2534,NA,5,5,2,1,Boston Pride,Kaleigh Fratkin,Play,55,35,Direct,NA,NA,NA,Mallory Souliotis,100,73,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,17:42:00,2538,4,5,5,2,1,Boston Pride,Mallory Souliotis,Shot,173,69,Snapshot,On Net,FALSE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,16:59:00,2581,NA,5,5,2,1,Boston Pride,Lauren Kelly,Play,114,1,Direct,NA,NA,NA,Taylor Wenczkowski,132,15,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,16:57:00,2583,2,5,5,2,1,Boston Pride,Taylor Wenczkowski,Shot,169,33,Snapshot,On Net,FALSE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,16:43:00,2597,NA,5,5,2,1,Boston Pride,Carlee Turner,Play,185,6,Direct,NA,NA,NA,Meghara McManus,167,26,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,16:43:00,2597,0,5,5,2,1,Boston Pride,Meghara McManus,Shot,169,27,Snapshot,On Net,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,16:19:00,2621,NA,5,5,2,1,Minnesota Whitecaps,Jonna Curtis,Play,143,50,Indirect,NA,NA,NA,Allie Thunstrom,145,48,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,16:19:00,2621,0,5,5,2,1,Minnesota Whitecaps,Allie Thunstrom,Shot,145,48,Snapshot,Missed,TRUE,TRUE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,14:45:00,2715,NA,5,5,2,1,Boston Pride,McKenna Brand,Play,45,5,Indirect,NA,NA,NA,Jillian Dempsey,123,4,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,14:39:00,2721,6,5,5,2,1,Boston Pride,Jillian Dempsey,Shot,166,19,Wristshot,On Net,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,14:11:00,2749,NA,5,5,2,1,Boston Pride,Tereza Vanisova,Play,155,9,Direct,NA,NA,NA,Taylor Wenczkowski,153,40,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,14:10:00,2750,1,5,5,2,1,Boston Pride,Taylor Wenczkowski,Shot,164,42,Snapshot,Missed,TRUE,FALSE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,12:44:00,2836,NA,5,5,2,1,Minnesota Whitecaps,Haley Mack,Play,182,77,Direct,NA,NA,NA,Maddie Rowe,127,75,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,12:43:00,2837,1,5,5,2,1,Minnesota Whitecaps,Maddie Rowe,Shot,127,75,Slapshot,Missed,TRUE,TRUE,NA,NA,NA,TRUE,FALSE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,12:27:00,2853,NA,5,5,2,1,Boston Pride,Carlee Turner,Play,100,60,Direct,NA,NA,NA,Meghara McManus,111,73,FALSE,TRUE
2021-01-23,Minnesota Whitecaps,Boston Pride,3,12:25:00,2855,2,5,5,2,1,Boston Pride,Meghara McManus,Shot,156,68,Slapshot,Blocked,FALSE,FALSE,NA,NA,NA,TRUE,FALSE
